sigma0,t/T,mean±std,mean,std,n_trials,depth,width
0.01,0.1,5.53e-03 ± 9.07e-04,5.52758599e-03,9.06601003e-04,10,4,512
0.01,0.3,5.12e-03 ± 4.71e-04,5.12212055e-03,4.70705919e-04,10,4,512
0.01,0.5,3.32e-03 ± 2.61e-04,3.32383557e-03,2.61145922e-04,10,4,512
0.01,0.7,1.62e-03 ± 5.86e-04,1.61798941e-03,5.86306252e-04,10,4,512
0.01,0.9,1.59e-03 ± 4.32e-04,1.58526269e-03,4.31687141e-04,10,4,512
0.1,0.1,6.96e-03 ± 1.35e-03,6.96234208e-03,1.35448254e-03,10,4,512
0.1,0.3,5.33e-03 ± 5.80e-04,5.33347042e-03,5.80202462e-04,10,4,512
0.1,0.5,3.15e-03 ± 2.34e-04,3.15329132e-03,2.34078925e-04,10,4,512
0.1,0.7,2.03e-03 ± 6.98e-04,2.03155338e-03,6.97802005e-04,10,4,512
0.1,0.9,1.65e-03 ± 3.40e-04,1.64922981e-03,3.39887261e-04,10,4,512
1,0.1,3.87e-03 ± 3.72e-04,3.87134875e-03,3.71723845e-04,10,4,512
1,0.3,5.33e-03 ± 5.30e-04,5.33175115e-03,5.30126359e-04,10,4,512
1,0.5,3.30e-03 ± 2.62e-04,3.30402105e-03,2.61916352e-04,10,4,512
1,0.7,1.81e-03 ± 6.46e-04,1.81121573e-03,6.45873171e-04,10,4,512
1,0.9,1.73e-03 ± 7.29e-04,1.73378282e-03,7.29431127e-04,10,4,512
