exp,seed,sigma0,depth,width,t,t_frac,relmse,train_sec,beta,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,score_chunk
exp_sigma,0.0,0.01,4.0,512.0,0.1,0.1,0.0055820935100555835,41.972386598587036,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.01,4.0,512.0,0.3,0.3,0.0055404771750090205,41.518184423446655,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.01,4.0,512.0,0.5,0.5,0.0034067951270233153,41.75117373466492,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.01,4.0,512.0,0.7,0.7,0.0014256249393048502,42.014431953430176,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.01,4.0,512.0,0.9,0.9,0.0012758334775409721,42.75345301628113,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.1,4.0,512.0,0.1,0.1,0.007156132731032407,42.17407989501953,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.1,4.0,512.0,0.3,0.3,0.004855061701963657,41.99049973487854,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.1,4.0,512.0,0.5,0.5,0.003410468262815208,42.680622577667236,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.1,4.0,512.0,0.7,0.7,0.0014510921278427526,42.01353597640991,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,0.1,4.0,512.0,0.9,0.9,0.0012716129598121394,41.66894841194153,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,1.0,4.0,512.0,0.1,0.1,0.004006189288388182,41.70799946784973,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,1.0,4.0,512.0,0.3,0.3,0.004856179366978255,41.39250206947327,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,1.0,4.0,512.0,0.5,0.5,0.0034456693743571912,41.88148379325867,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,1.0,4.0,512.0,0.7,0.7,0.0028127426342197098,42.657384157180786,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,0.0,1.0,4.0,512.0,0.9,0.9,0.0035623390041497837,41.677695751190186,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.01,4.0,512.0,0.1,0.1,0.006169991737849496,42.17230677604675,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.01,4.0,512.0,0.3,0.3,0.005145895231230037,43.403032302856445,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.01,4.0,512.0,0.5,0.5,0.0030378429084368832,41.631187915802,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.01,4.0,512.0,0.7,0.7,0.0032422821740148884,42.504640102386475,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.01,4.0,512.0,0.9,0.9,0.002279178038071346,41.53256797790527,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.1,4.0,512.0,0.1,0.1,0.007496675956398066,41.556910037994385,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.1,4.0,512.0,0.3,0.3,0.0059287959447459435,42.183876276016235,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.1,4.0,512.0,0.5,0.5,0.003176711320892011,41.561668157577515,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.1,4.0,512.0,0.7,0.7,0.0012749441977828644,42.06595420837402,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,0.1,4.0,512.0,0.9,0.9,0.001929356218049971,42.99107122421265,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,1.0,4.0,512.0,0.1,0.1,0.00453335105087043,41.72613739967346,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,1.0,4.0,512.0,0.3,0.3,0.004517412634612112,42.07482886314392,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,1.0,4.0,512.0,0.5,0.5,0.0029170242342157794,42.961551666259766,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,1.0,4.0,512.0,0.7,0.7,0.002947791325116462,42.291049003601074,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,1.0,1.0,4.0,512.0,0.9,0.9,0.0014046855217820944,41.987964391708374,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.1,0.1,0.004610928395657076,41.602351903915405,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.3,0.3,0.0050238691349342585,41.752692222595215,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,2.0,0.01,4.0,512.0,0.5,0.5,0.0035130250439155816,42.186352014541626,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
