exp,seed,mu_seed,sigma0,depth,width,B,delta,relmse,train_sec,beta,sigma_inf,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,teacher_steps,score_chunk
exp_flow_map_bound,0.0,0.0,0.1,4.0,512.0,0.001,0.06931471805599453,0.9437599293347322,329.92535638809204,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.1,4.0,512.0,0.01,0.06931471805599453,0.00397521806283982,330.1385169029236,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.1,4.0,512.0,0.1,0.06931471805599453,1.4466684910497217e-05,330.2961628437042,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.1,4.0,512.0,0.25,0.06931471805599453,2.1069813157673352e-05,330.45765686035156,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.01,4.0,512.0,0.001,0.06931471805599453,0.9876714147643799,330.89822721481323,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.01,4.0,512.0,0.01,0.06931471805599453,0.7752664171459285,330.10501313209534,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.01,4.0,512.0,0.1,0.06931471805599453,0.006709139607494127,330.2624354362488,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.01,4.0,512.0,0.25,0.06931471805599453,0.007336632152803284,329.92595171928406,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.001,4.0,512.0,0.001,0.06931471805599453,0.9999963259935329,329.9771008491516,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.001,4.0,512.0,0.01,0.06931471805599453,0.9561627727924938,329.9610152244568,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.001,4.0,512.0,0.1,0.06931471805599453,0.008718443185236147,329.8315155506134,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.001,4.0,512.0,0.25,0.06931471805599453,0.007257734499790864,333.44425988197327,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.0001,4.0,512.0,0.001,0.06931471805599453,0.999999982431855,335.54026436805725,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.0001,4.0,512.0,0.01,0.06931471805599453,0.9930523560236851,330.47366428375244,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.0001,4.0,512.0,0.1,0.06931471805599453,0.031016208965141324,329.62433314323425,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,0.0,0.0,0.0001,4.0,512.0,0.25,0.06931471805599453,0.0185664424356873,330.0607750415802,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,1.0,0.0,0.1,4.0,512.0,0.001,0.06931471805599453,0.9436571224506373,329.94647121429443,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,1.0,0.0,0.1,4.0,512.0,0.01,0.06931471805599453,0.0037737767519712365,329.9749319553375,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,1.0,0.0,0.1,4.0,512.0,0.1,0.06931471805599453,3.126978118319034e-05,329.1015043258667,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,1.0,0.0,0.1,4.0,512.0,0.25,0.06931471805599453,2.3758359183445436e-05,330.04915976524353,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,1.0,0.0,0.01,4.0,512.0,0.001,0.06931471805599453,0.9875537904879519,328.9443509578705,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,1.0,0.0,0.01,4.0,512.0,0.01,0.06931471805599453,0.7718240796716558,329.6200258731842,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
