exp,arch,seed,mu_seed,sigma0,T,beta,sigma_inf,n_blocks,inner_depth,inner_width,d_model,n_heads,ff_mult,dropout,relmse,train_sec,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,teacher_steps,score_chunk
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07079868522624792,3209.018945455551,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07091307482520114,3559.3386619091034,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06581845603095171,4237.187427520752,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.025952059722255,5711.777344703674,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.022710545073373417,8619.173037052155,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07151122071591018,3208.5610473155975,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0715782069613731,3549.4238924980164,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0677899539150124,4271.66472363472,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.029202187930751838,5702.820212841034,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.02801968989932299,8608.473820447922,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07127331000502435,3236.3451392650604,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0681412055087182,3580.8843545913696,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06852223300863317,4235.165338039398,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06508045726016891,5714.156567573547,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.025751343322896265,8616.212792396545,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07147524710455952,3198.291750907898,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07135615971705636,3578.1830763816833,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06644782776178576,4288.435043096542,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06017226726848664,5659.411582708359,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
